similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
-0.5112	8.877e-17	231	CTLA4	CGS001-1493	120 h	LINCSKD_30568	VCAP	LINCSCP_156409
0.5001	5.0323e-16	231	ARG1	CGS001-383	96 h	LINCSKD_14709	HEPG2	LINCSCP_156409
0.4626	1.1972e-13	231	ARG1	CGS001-383	96 h	LINCSKD_8268	HA1E	LINCSCP_156409
-0.4568	2.6275e-13	231	CD44	CGS001-960	120 h	LINCSKD_30381	VCAP	LINCSCP_156409
0.4546	3.4844e-13	231	TLR9	CGS001-54106	96 h	LINCSKD_11280	HA1E	LINCSCP_156409
0.4544	3.5977e-13	231	CD83	CGS001-9308	96 h	LINCSKD_14984	HEPG2	LINCSCP_156409
0.4439	1.4338e-12	231	IL6R	CGS001-3570	96 h	LINCSKD_27674	PC3	LINCSCP_156409
0.4409	2.1038e-12	231	CD83	CGS001-9308	96 h	LINCSKD_8567	HA1E	LINCSCP_156409
-0.4358	3.993e-12	231	CD19	CGS001-930	96 h	LINCSKD_8558	HA1E	LINCSCP_156409
-0.4343	4.8111e-12	231	CD44	CGS001-960	96 h	LINCSKD_24747	NPC	LINCSCP_156409
-0.434	4.9718e-12	231	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_156409
0.4238	1.7428e-11	231	CD83	CGS001-9308	96 h	LINCSKD_497	A375	LINCSCP_156409
-0.4047	1.6203e-10	231	CD81	CGS001-975	96 h	LINCSKD_18326	HT29	LINCSCP_156409
0.3946	5.0147e-10	231	TLR7	CGS001-51284	96 h	LINCSKD_6832	A549	LINCSCP_156409
0.3931	5.8864e-10	231	ARG1	CGS001-383	96 h	LINCSKD_11845	HCC515	LINCSCP_156409
-0.3872	1.1101e-9	231	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_156409
0.3841	1.5437e-9	231	IL6	CGS001-3569	120 h	LINCSKD_31339	VCAP	LINCSCP_156409
